area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Belize",eez,Reconstructed domestic catch,2,1950,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,0.0286049153,16.41431633476913
"Belize",eez,Reconstructed domestic catch,2,1950,"Carcharhinus limbatus","Blacktip shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale longline,Direct human consumption,15.8511936373,9095.867061218005
"Belize",eez,Reconstructed domestic catch,2,1950,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,13.1046651501,0.5349725054926947
"Belize",eez,Reconstructed domestic catch,2,1950,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,0.0789790757,0.0032241673880987337
"Belize",eez,Reconstructed domestic catch,2,1950,"Negaprion brevirostris","Lemon shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale longline,Direct human consumption,43.7656469229,1.7866475427392803
"Belize",eez,Reconstructed domestic catch,2,1950,"Rhizoprionodon porosus","Caribbean sharpnose shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,8.3279865381,0.33997387746784075
"Belize",eez,Reconstructed domestic catch,2,1950,"Rhizoprionodon porosus","Caribbean sharpnose shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale pots or traps,Direct human consumption,0.0501910329,0.002048951445696784
"Belize",eez,Reconstructed domestic catch,2,1950,"Rhizoprionodon porosus","Caribbean sharpnose shark","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale longline,Direct human consumption,27.8129745575,1.135410673514992
"Belize",eez,Reconstructed domestic catch,2,1950,"Sphyrna lewini","Scalloped hammerhead","Large sharks (>=90 cm)","Sharks & rays","Belize",Artisanal,Landings,Unreported,small scale longline,Direct human consumption,40.5893824219,23291.345437697797
"Belize",eez,Reconstructed domestic catch,1,1950,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,11.3446218342,0.46312215512760924
"Belize",eez,Reconstructed domestic catch,2,1950,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.7692307692,0.031402352307692304
"Belize",eez,Reconstructed domestic catch,2,1950,"Alectis ciliaris","African pompano","Large pelagics (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,9.6923076923,0.395669639076923
"Belize",eez,Reconstructed domestic catch,1,1950,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,11.3446218342,5468.329493313435
"Belize",eez,Reconstructed domestic catch,2,1950,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.7692307692,370.78426799999994
"Belize",eez,Reconstructed domestic catch,2,1950,"Selene vomer","Lookdown","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,9.6923076923,4671.881776799999
"Belize",eez,Reconstructed domestic catch,1,1950,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.8287569316,0.03383239228653123
"Belize",eez,Reconstructed domestic catch,2,1950,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.0561944983,0.002294031262013294
"Belize",eez,Reconstructed domestic catch,2,1950,"Trachinotus goodei","Great pompano","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,0.7080506782,0.02890479390136749
"Belize",eez,Reconstructed domestic catch,1,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,11.3446218342,0.46312215512760924
"Belize",eez,Reconstructed domestic catch,2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,0.0700558863,0.0028598955090565928
"Belize",eez,Reconstructed domestic catch,2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.5617414825,0.022932005121955912
"Belize",eez,Reconstructed domestic catch,2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.1374334004,0.005610451676679774
"Belize",eez,Reconstructed domestic catch,2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,0.8827041672,0.03603468341411308
"Belize",eez,Reconstructed domestic catch,2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,7.0779426798,0.2889432645366445
"Belize",eez,Reconstructed domestic catch,2,1950,"Chaetodipterus faber","Atlantic spadefish","Medium demersals (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,1.7316608454,0.07069169112616516
"Belize",eez,Reconstructed domestic catch,1,1950,"Gerres cinereus","Yellow fin mojarra","Small reef assoc. fish (<30 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,11.3446218342,0.46312215512760924
"Belize",eez,Reconstructed domestic catch,2,1950,"Gerres cinereus","Yellow fin mojarra","Small reef assoc. fish (<30 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,9.6923076923,0.395669639076923
"Belize",eez,Reconstructed domestic catch,1,1950,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,11.3446218342,0.46312215512760924
"Belize",eez,Reconstructed domestic catch,2,1950,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.7692307692,0.031402352307692304
"Belize",eez,Reconstructed domestic catch,2,1950,"Lachnolaimus maximus","Hogfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,9.6923076923,0.395669639076923
"Belize",eez,Reconstructed domestic catch,1,1950,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,0.4232489528,95.59260337502636
"Belize",eez,Reconstructed domestic catch,2,1950,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.0286987193,6.48172966021231
"Belize",eez,Reconstructed domestic catch,2,1950,"Megalops atlanticus","Tarpon","Large pelagics (>=90 cm)","Other fishes & inverts","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,0.3616038632,81.66979371867521
"Belize",eez,Reconstructed domestic catch,1,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,11.3446218342,0.46312215512760924
"Belize",eez,Reconstructed domestic catch,2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,0.0700558863,0.0028598955090565928
"Belize",eez,Reconstructed domestic catch,2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,0.5617414825,0.022932005121955912
"Belize",eez,Reconstructed domestic catch,2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.1374334004,0.005610451676679774
"Belize",eez,Reconstructed domestic catch,2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale seine nets,Direct human consumption,0.8827041672,0.03603468341411308
"Belize",eez,Reconstructed domestic catch,2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,7.0779426798,0.2889432645366445
"Belize",eez,Reconstructed domestic catch,2,1950,"Mulloidichthys martinicus","Yellow goatfish","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale pole lines,Direct human consumption,1.7316608454,0.07069169112616516
"Belize",eez,Reconstructed domestic catch,1,1950,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,47.8095560815,1.9517322808704012
"Belize",eez,Reconstructed domestic catch,2,1950,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,3.2417635544,0.1323387016051964
"Belize",eez,Reconstructed domestic catch,2,1950,"Haemulon sciurus","Bluestriped grunt","Medium reef assoc. fish (30 - 89 cm)","Perch-likes","Belize",Artisanal,Landings,Unreported,small scale gillnets,Direct human consumption,40.8462207859,1.6674676402254753
"Belize",eez,Reconstructed domestic catch,1,1950,"Mycteroperca bonaci","Black grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,2.9475361206,2219.4695136179485
"Belize",eez,Reconstructed domestic catch,2,1950,"Mycteroperca bonaci","Black grouper","Large reef assoc. fish (>=90 cm)","Perch-likes","Belize",Artisanal,Landings,Reported,small scale pole lines,Direct human consumption,0.1998599434,150.49282965875148
